0,Emma,ROUX,94000,10/10/2017
1,Lyna,DUCHATEAU,106000,15/10/2017
2,Sabrina,DUCHATEAU,33000,06/10/2017
3,Marouan,ROUX,56000,20/10/2017
4,Manon,MOHAMED,112000,22/10/2017
5,Alice,ROY,115000,10/10/2017
6,Sabrina,ROY,116000,22/10/2017
7,Emma,BLANC,78000,28/09/2017
8,Nathan,MARTIN,42000,16/10/2017
9,Marouan,BLANC,108000,19/10/2017
10,Marouan,MARTIN,56000,24/10/2017
11,Emma,DUCHATEAU,83000,10/10/2017
12,Cloe,MARTIN,115000,17/10/2017
13,Alice,ROY,80000,11/10/2017
14,Lucas,PETIT,59000,08/10/2017
15,Lucas,ROUX,95000,30/09/2017
16,Nathan,DUBOIS,40000,27/10/2017
17,Lucas,BLANC,105000,18/10/2017
18,Lyna,BLANC,54000,06/10/2017
19,Nathan,MARTIN,82000,19/10/2017
20,Jules,JOLY,87000,22/10/2017
21,Nathan,DUBOIS,36000,23/10/2017
22,Nathan,DUCHATEAU,57000,24/10/2017
23,Lucas,ROY,115000,28/09/2017
24,Marouan,MOHAMED,50000,01/10/2017
25,Alice,DUBOIS,86000,18/10/2017
26,Sabrina,BLANC,45000,19/10/2017
27,Cloe,ROY,118000,03/10/2017
28,Jules,ROY,55000,21/10/2017
29,Marouan,MOHAMED,45000,26/10/2017
30,Lola,DUBOIS,30000,07/10/2017
31,Alice,BLANC,119000,22/10/2017
32,Nathan,JOLY,48000,23/10/2017
33,Lyna,BLANC,73000,13/10/2017
34,Emma,BLANC,108000,16/10/2017
35,Emma,DUBOIS,42000,05/10/2017
36,Sabrina,ROUX,93000,09/10/2017
37,Sabrina,MOHAMED,119000,09/10/2017
38,Emma,MARTIN,44000,17/10/2017
39,Lucas,ROY,96000,09/10/2017
40,Sabrina,JOLY,82000,19/10/2017
41,Emma,ROY,60000,04/10/2017
42,Alice,ROUX,98000,03/10/2017
43,Jules,MOHAMED,117000,25/10/2017
44,Manon,JOLY,118000,01/10/2017
45,Sabrina,JOLY,67000,09/10/2017
46,Manon,DUBOIS,50000,19/10/2017
47,Lola,JOLY,107000,05/10/2017
48,Manon,JOLY,85000,09/10/2017
49,Cloe,BLANC,51000,24/10/2017
50,Alice,ROUX,34000,22/10/2017
51,Nathan,MOHAMED,47000,28/09/2017
52,Lucas,ROUX,76000,16/10/2017
53,Alice,BLANC,31000,20/10/2017
54,Jules,ROY,59000,06/10/2017
55,Lyna,MARTIN,42000,30/09/2017
56,Alice,DUCHATEAU,77000,25/10/2017
57,Manon,ROUX,48000,12/10/2017
58,Lola,DUBOIS,57000,28/10/2017
59,Marouan,MOHAMED,55000,06/10/2017
60,Lyna,JOLY,35000,28/10/2017
61,Manon,PETIT,69000,24/10/2017
62,Marouan,MARTIN,36000,24/10/2017
63,Alice,DUBOIS,117000,02/10/2017
64,Manon,DUBOIS,75000,20/10/2017
65,Manon,MOHAMED,107000,05/10/2017
66,Cloe,BLANC,92000,24/10/2017
67,Nathan,MOHAMED,78000,27/10/2017
